Feature1,Feature2,Feature3
13,14,3
1,17,5
18,14,13
3,2,6
17,14,12
8,4,4
3,2,16
18,6,13
9,18,17
6,6,1
4,5,13
6,14,16
10,13,6
3,2,4
6,20,14
6,14,6
7,7,8
5,14,5
20,10,8
8,19,18
19,14,3
8,18,20
17,4,17
15,1,17
11,5,5
6,12,14
14,19,10
16,18,8
9,6,19
16,10,19
11,9,12
4,16,20
4,2,6
20,10,4
9,3,9
16,8,16
4,13,3
1,10,19
12,7,9
8,11,7
4,2,8
19,6,19
7,16,12
17,18,19
9,14,14
7,11,18
6,1,8
5,3,2
4,7,17
11,1,7
14,7,11
7,4,4
17,17,3
9,15,11
12,11,14
3,11,12
4,18,12
14,3,11
1,3,10
5,15,5
13,16,16
1,8,12
17,15,11
8,16,2
8,1,11
13,7,1
10,5,5
8,19,16
4,17,17
4,16,4
12,6,12
1,8,9
17,4,6
12,14,14
16,17,11
17,18,11
20,1,14
16,14,3
15,14,7
20,8,18
9,19,17
11,10,14
3,4,2
15,10,18
17,19,7
6,4,5
10,10,4
15,4,5
10,11,5
14,14,19
19,13,13
6,16,6
20,10,14
18,12,11
2,2,10
1,17,19
13,11,5
13,10,17
19,5,7
19,7,3
9,4,15
7,18,16
6,2,13
4,4,16
9,14,1
10,2,2
1,2,14
17,1,5
11,16,9
18,2,16
15,14,7
16,2,1
9,10,7
4,7,2
9,15,17
17,17,5
14,10,12
9,14,19
14,16,13
18,19,19
14,8,3
6,15,4
13,15,16
10,3,3
18,13,12
10,14,13
14,18,3
7,9,4
13,20,5
19,14,10
9,1,18
13,3,12
19,15,9
13,6,2
11,11,12
3,13,17
3,17,1
12,9,7
10,20,18
12,8,10
19,10,12
16,12,19
15,6,5
7,20,14
1,18,19
8,11,6
3,7,14
19,4,19
18,19,16
20,7,4
4,16,2
8,8,7
1,10,18
15,17,10
2,14,3
15,19,20
10,20,1
20,20,20
12,16,2
8,20,14
8,5,13
10,11,13
20,4,4
11,16,3
3,7,15
4,2,13
17,14,8
18,9,18
12,13,7
1,11,13
15,18,6
15,9,7
11,11,18
15,9,11
14,19,19
7,6,3
14,19,2
17,18,6
7,18,10
18,5,16
16,17,1
14,6,17
11,19,17
5,6,7
4,20,2
9,1,15
1,16,11
13,18,5
20,20,17
9,6,3
5,16,9
18,16,6
